onset,duration,run_number,trial_number,task,fixation_location,pursuit_amplitude,pursuit_angle,image_id,trial_onset,trial_offset,check_fix_onset,iti_onset,iti_offset,fixation_onset,fixation_offset,pursuit_onset,pursuit_offset,freeview_onset,freeview_offset,iti_duration,fixation_duration,pursuit_duration,freeview_duration
91051.89072,6.0019152,1,1,1,13.0,,,,2954277.0,2960291.0,0.0,2954286.0,2960289.0,0.0,0.0,0.0,0.0,0.0,0.0,6003.0,0.0,0.0,0.0
91057.90093,1.1920228,1,2,2,18.0,,,,2960291.0,2961490.0,0.0,0.0,0.0,2960296.0,2961489.0,0.0,0.0,0.0,0.0,0.0,1193.0,0.0,0.0
91059.10132,1.1921405,1,3,2,10.0,,,,2961491.0,2962690.0,0.0,0.0,0.0,2961496.0,2962690.0,0.0,0.0,0.0,0.0,0.0,1194.0,0.0,0.0
91060.3018,1.191983,1,4,2,11.0,,,,2962691.0,2963891.0,0.0,0.0,0.0,2962697.0,2963890.0,0.0,0.0,0.0,0.0,0.0,1193.0,0.0,0.0
91061.50214,1.1920107,1,5,2,13.0,,,,2963893.0,2965095.0,0.0,0.0,0.0,2963897.0,2965091.0,0.0,0.0,0.0,0.0,0.0,1194.0,0.0,0.0
91062.71085,1.1921414,1,6,2,17.0,,,,2965097.0,2966301.0,0.0,0.0,0.0,2965108.0,2966300.0,0.0,0.0,0.0,0.0,0.0,1192.0,0.0,0.0
91063.91128,1.1921024,1,7,2,6.0,,,,2966301.0,2967500.0,0.0,0.0,0.0,2966306.0,2967500.0,0.0,0.0,0.0,0.0,0.0,1194.0,0.0,0.0
91065.11174,1.1920365,1,8,2,20.0,,,,2967500.0,2968700.0,0.0,0.0,0.0,2967507.0,2968700.0,0.0,0.0,0.0,0.0,0.0,1193.0,0.0,0.0
91066.31212,1.2003821,1,9,2,12.0,,,,2968700.0,2969909.0,0.0,0.0,0.0,2968707.0,2969909.0,0.0,0.0,0.0,0.0,0.0,1202.0,0.0,0.0
91067.52086,1.1919884,1,10,2,24.0,,,,2969909.0,2971109.0,0.0,0.0,0.0,2969916.0,2971109.0,0.0,0.0,0.0,0.0,0.0,1193.0,0.0,0.0
