onset,duration,run_number,trial_number,task,fixation_location,pursuit_amplitude,pursuit_angle,image_id,trial_onset,trial_offset,check_fix_onset,iti_onset,iti_offset,fixation_onset,fixation_offset,pursuit_onset,pursuit_offset,freeview_onset,freeview_offset,iti_duration,fixation_duration,pursuit_duration,freeview_duration
96189.80163,5.9935454,2,1,1,13.0,,,,11336031.0,11342036.0,0.0,11336043.0,11342036.0,0.0,0.0,0.0,0.0,0.0,0.0,5993.0,0.0,0.0,0.0
96195.80352,1.1920694,2,2,2,2.0,,,,11342037.0,11343237.0,0.0,0.0,0.0,11342043.0,11343237.0,0.0,0.0,0.0,0.0,0.0,1194.0,0.0,0.0
96197.00392,1.19205,2,3,2,24.0,,,,11343237.0,11344437.0,0.0,0.0,0.0,11343243.0,11344437.0,0.0,0.0,0.0,0.0,0.0,1194.0,0.0,0.0
96198.20431,1.1921344,2,4,2,4.0,,,,11344437.0,11345638.0,0.0,0.0,0.0,11344444.0,11345637.0,0.0,0.0,0.0,0.0,0.0,1193.0,0.0,0.0
96199.40475,1.19206,2,5,2,14.0,,,,11345640.0,11346839.0,0.0,0.0,0.0,11345644.0,11346838.0,0.0,0.0,0.0,0.0,0.0,1194.0,0.0,0.0
96200.60512,1.1921143,2,6,2,5.0,,,,11346841.0,11348039.0,0.0,0.0,0.0,11346845.0,11348038.0,0.0,0.0,0.0,0.0,0.0,1193.0,0.0,0.0
96201.80552,1.1920737,2,7,2,18.0,,,,11348039.0,11349239.0,0.0,0.0,0.0,11348045.0,11349239.0,0.0,0.0,0.0,0.0,0.0,1194.0,0.0,0.0
96203.00592,1.1920466,2,8,2,11.0,,,,11349239.0,11350439.0,0.0,0.0,0.0,11349245.0,11350439.0,0.0,0.0,0.0,0.0,0.0,1194.0,0.0,0.0
96204.20631,1.1921042,2,9,2,16.0,,,,11350439.0,11351639.0,0.0,0.0,0.0,11350446.0,11351639.0,0.0,0.0,0.0,0.0,0.0,1193.0,0.0,0.0
96205.40673,1.192955218,2,10,2,12.0,,,,11351639.0,11352841.0,0.0,0.0,0.0,11351646.0,11352841.0,0.0,0.0,0.0,0.0,0.0,1195.0,0.0,0.0
96206.60712,1.1920621,2,11,2,3.0,,,,11352841.0,11354040.0,0.0,0.0,0.0,11352847.0,11354040.0,0.0,0.0,0.0,0.0,0.0,1193.0,0.0,0.0
96207.80752,1.192075,2,12,2,22.0,,,,11354040.0,11355240.0,0.0,0.0,0.0,11354047.0,11355240.0,0.0,0.0,0.0,0.0,0.0,1193.0,0.0,0.0
96209.00792,1.1920698,2,13,2,23.0,,,,11355240.0,11356441.0,0.0,0.0,0.0,11355247.0,11356441.0,0.0,0.0,0.0,0.0,0.0,1194.0,0.0,0.0
96210.20833,1.1920542,2,14,2,15.0,,,,11356441.0,11357641.0,0.0,0.0,0.0,11356448.0,11357641.0,0.0,0.0,0.0,0.0,0.0,1193.0,0.0,0.0
96211.40872,1.1920628,2,15,2,12.0,,,,11357641.0,11358842.0,0.0,0.0,0.0,11357648.0,11358842.0,0.0,0.0,0.0,0.0,0.0,1194.0,0.0,0.0
96212.60913,1.1920515,2,16,2,8.0,,,,11358842.0,11360042.0,0.0,0.0,0.0,11358849.0,11360042.0,0.0,0.0,0.0,0.0,0.0,1193.0,0.0,0.0
96213.80952,1.192085,2,17,2,21.0,,,,11360042.0,11361243.0,0.0,0.0,0.0,11360049.0,11361242.0,0.0,0.0,0.0,0.0,0.0,1193.0,0.0,0.0
96215.00997,1.1920119,2,18,2,14.0,,,,11361243.0,11362443.0,0.0,0.0,0.0,11361250.0,11362443.0,0.0,0.0,0.0,0.0,0.0,1193.0,0.0,0.0
96216.21031,1.192081,2,19,2,1.0,,,,11362443.0,11363643.0,0.0,0.0,0.0,11362450.0,11363643.0,0.0,0.0,0.0,0.0,0.0,1193.0,0.0,0.0
96217.41073,1.1920722,2,20,2,24.0,,,,11363643.0,11364844.0,0.0,0.0,0.0,11363650.0,11364843.0,0.0,0.0,0.0,0.0,0.0,1193.0,0.0,0.0
96218.61114,1.192042,2,21,2,20.0,,,,11364844.0,11366044.0,0.0,0.0,0.0,11364851.0,11366044.0,0.0,0.0,0.0,0.0,0.0,1193.0,0.0,0.0
96219.81153,1.1920885,2,22,2,10.0,,,,11366044.0,11367244.0,0.0,0.0,0.0,11366051.0,11367244.0,0.0,0.0,0.0,0.0,0.0,1193.0,0.0,0.0
96221.01193,1.1920384,2,23,2,4.0,,,,11367245.0,11368445.0,0.0,0.0,0.0,11367251.0,11368445.0,0.0,0.0,0.0,0.0,0.0,1194.0,0.0,0.0
96222.21232,1.1920688,2,24,2,17.0,,,,11368445.0,11369645.0,0.0,0.0,0.0,11368452.0,11369645.0,0.0,0.0,0.0,0.0,0.0,1193.0,0.0,0.0
96223.41272,1.19207,2,25,2,19.0,,,,11369646.0,11370846.0,0.0,0.0,0.0,11369652.0,11370846.0,0.0,0.0,0.0,0.0,0.0,1194.0,0.0,0.0
96224.61313,1.1921054,2,26,2,3.0,,,,11370846.0,11372046.0,0.0,0.0,0.0,11370853.0,11372046.0,0.0,0.0,0.0,0.0,0.0,1193.0,0.0,0.0
96225.81352,1.1920673,2,27,2,7.0,,,,11372046.0,11373247.0,0.0,0.0,0.0,11372053.0,11373247.0,0.0,0.0,0.0,0.0,0.0,1194.0,0.0,0.0
96227.01392,1.1920549,2,28,2,25.0,,,,11373247.0,11374447.0,0.0,0.0,0.0,11373254.0,11374447.0,0.0,0.0,0.0,0.0,0.0,1193.0,0.0,0.0
96228.21434,1.1920549,2,29,2,17.0,,,,11374447.0,11375648.0,0.0,0.0,0.0,11374454.0,11375647.0,0.0,0.0,0.0,0.0,0.0,1193.0,0.0,0.0
96229.41472,1.1920719,2,30,2,20.0,,,,11375648.0,11376848.0,0.0,0.0,0.0,11375654.0,11376848.0,0.0,0.0,0.0,0.0,0.0,1194.0,0.0,0.0
96230.61513,1.1920984,2,31,2,13.0,,,,11376848.0,11378048.0,0.0,0.0,0.0,11376855.0,11378048.0,0.0,0.0,0.0,0.0,0.0,1193.0,0.0,0.0
96231.81551,1.1920741,2,32,2,2.0,,,,11378049.0,11379249.0,0.0,0.0,0.0,11378055.0,11379249.0,0.0,0.0,0.0,0.0,0.0,1194.0,0.0,0.0
96233.01592,1.1920419,2,33,2,6.0,,,,11379249.0,11380449.0,0.0,0.0,0.0,11379256.0,11380449.0,0.0,0.0,0.0,0.0,0.0,1193.0,0.0,0.0
96234.21631,1.1920872,2,34,2,16.0,,,,11380449.0,11381650.0,0.0,0.0,0.0,11380456.0,11381650.0,0.0,0.0,0.0,0.0,0.0,1194.0,0.0,0.0
96235.41672,1.1921391,2,35,2,13.0,,,,11381650.0,11382850.0,0.0,0.0,0.0,11381656.0,11382850.0,0.0,0.0,0.0,0.0,0.0,1194.0,0.0,0.0
96236.61714,1.1920472,2,36,2,6.0,,,,11382850.0,11384050.0,0.0,0.0,0.0,11382857.0,11384050.0,0.0,0.0,0.0,0.0,0.0,1193.0,0.0,0.0
96237.81752,1.1920737,2,37,2,25.0,,,,11384050.0,11385251.0,0.0,0.0,0.0,11384057.0,11385251.0,0.0,0.0,0.0,0.0,0.0,1194.0,0.0,0.0
96239.01791,1.1920614,2,38,2,1.0,,,,11385251.0,11386451.0,0.0,0.0,0.0,11385258.0,11386451.0,0.0,0.0,0.0,0.0,0.0,1193.0,0.0,0.0
96240.21831,1.1920697,2,39,2,21.0,,,,11386451.0,11387651.0,0.0,0.0,0.0,11386458.0,11387651.0,0.0,0.0,0.0,0.0,0.0,1193.0,0.0,0.0
96241.41873,1.1920727,2,40,2,19.0,,,,11387651.0,11388852.0,0.0,0.0,0.0,11387658.0,11388852.0,0.0,0.0,0.0,0.0,0.0,1194.0,0.0,0.0
