onset,duration,run_number,trial_number,task,fixation_location,pursuit_amplitude,pursuit_angle,image_id,trial_onset,trial_offset,check_fix_onset,iti_onset,iti_offset,fixation_onset,fixation_offset,pursuit_onset,pursuit_offset,freeview_onset,freeview_offset,iti_duration,fixation_duration,pursuit_duration,freeview_duration
84040.78079,5.9936409,1,1,1,13.0,,,,4055798.0,4061806.0,0.0,4055811.0,4061804.0,0.0,0.0,0.0,0.0,0.0,0.0,5993.0,0.0,0.0,0.0
84046.78268,1.1920571,1,2,2,1.0,,,,4061806.0,4063005.0,0.0,0.0,0.0,4061811.0,4063005.0,0.0,0.0,0.0,0.0,0.0,1194.0,0.0,0.0
84047.98304,1.1921383,1,3,2,6.0,,,,4063006.0,4064205.0,0.0,0.0,0.0,4063012.0,4064205.0,0.0,0.0,0.0,0.0,0.0,1193.0,0.0,0.0
84049.18346,1.1921481,1,4,2,20.0,,,,4064206.0,4065406.0,0.0,0.0,0.0,4064212.0,4065406.0,0.0,0.0,0.0,0.0,0.0,1194.0,0.0,0.0
84050.39218,1.1920545,1,5,2,22.0,,,,4065413.0,4066619.0,0.0,0.0,0.0,4065422.0,4066614.0,0.0,0.0,0.0,0.0,0.0,1192.0,0.0,0.0
84051.60097,1.1920829,1,6,2,15.0,,,,4066621.0,4067825.0,0.0,0.0,0.0,4066631.0,4067824.0,0.0,0.0,0.0,0.0,0.0,1193.0,0.0,0.0
84052.80138,1.1921179,1,7,2,21.0,,,,4067825.0,4069024.0,0.0,0.0,0.0,4067830.0,4069024.0,0.0,0.0,0.0,0.0,0.0,1194.0,0.0,0.0
84054.00182,1.1920218,1,8,2,5.0,,,,4069025.0,4070224.0,0.0,0.0,0.0,4069030.0,4070224.0,0.0,0.0,0.0,0.0,0.0,1194.0,0.0,0.0
84055.20217,1.192022,1,9,2,10.0,,,,4070224.0,4071424.0,0.0,0.0,0.0,4070231.0,4071424.0,0.0,0.0,0.0,0.0,0.0,1193.0,0.0,0.0
84056.4025,1.1921847,1,10,2,7.0,,,,4071424.0,4072625.0,0.0,0.0,0.0,4071431.0,4072625.0,0.0,0.0,0.0,0.0,0.0,1194.0,0.0,0.0
84057.60298,1.1920735,1,11,2,8.0,,,,4072625.0,4073825.0,0.0,0.0,0.0,4072632.0,4073825.0,0.0,0.0,0.0,0.0,0.0,1193.0,0.0,0.0
84058.80339,1.1920358,1,12,2,12.0,,,,4073826.0,4075026.0,0.0,0.0,0.0,4073832.0,4075025.0,0.0,0.0,0.0,0.0,0.0,1193.0,0.0,0.0
84060.00377,1.1920921,1,13,2,19.0,,,,4075026.0,4076226.0,0.0,0.0,0.0,4075032.0,4076226.0,0.0,0.0,0.0,0.0,0.0,1194.0,0.0,0.0
84061.20424,1.1919362,1,14,2,14.0,,,,4076226.0,4077427.0,0.0,0.0,0.0,4076233.0,4077426.0,0.0,0.0,0.0,0.0,0.0,1193.0,0.0,0.0
84062.40449,1.1921558,1,15,2,21.0,,,,4077427.0,4078627.0,0.0,0.0,0.0,4077433.0,4078627.0,0.0,0.0,0.0,0.0,0.0,1194.0,0.0,0.0
84063.60503,1.1919094,1,16,2,6.0,,,,4078627.0,4079827.0,0.0,0.0,0.0,4078634.0,4079827.0,0.0,0.0,0.0,0.0,0.0,1193.0,0.0,0.0
84064.80545,1.1918797,1,17,2,9.0,,,,4079827.0,4081028.0,0.0,0.0,0.0,4079834.0,4081027.0,0.0,0.0,0.0,0.0,0.0,1193.0,0.0,0.0
84066.00579,1.1919499,1,18,2,12.0,,,,4081028.0,4082228.0,0.0,0.0,0.0,4081035.0,4082228.0,0.0,0.0,0.0,0.0,0.0,1193.0,0.0,0.0
84067.20617,1.1919611,1,19,2,2.0,,,,4082228.0,4083429.0,0.0,0.0,0.0,4082235.0,4083428.0,0.0,0.0,0.0,0.0,0.0,1193.0,0.0,0.0
84068.40659,1.1919984,1,20,2,3.0,,,,4083429.0,4084629.0,0.0,0.0,0.0,4083435.0,4084629.0,0.0,0.0,0.0,0.0,0.0,1194.0,0.0,0.0
