onset,duration,run_number,trial_number,task,fixation_location,pursuit_amplitude,pursuit_angle,image_id,trial_onset,trial_offset,check_fix_onset,iti_onset,iti_offset,fixation_onset,fixation_offset,pursuit_onset,pursuit_offset,freeview_onset,freeview_offset,iti_duration,fixation_duration,pursuit_duration,freeview_duration
89124.98178,6.0102812,1,1,1,13.0,,,,4271146.0,4277177.0,0.0,4271165.0,4277175.0,0.0,0.0,0.0,0.0,0.0,0.0,6010.0,0.0,0.0,0.0
89131.00887,1.1920149,1,2,2,10.0,,,,4277179.0,4278385.0,0.0,0.0,0.0,4277192.0,4278384.0,0.0,0.0,0.0,0.0,0.0,1192.0,0.0,0.0
89132.20913,1.1921059,1,3,2,15.0,,,,4278386.0,4279585.0,0.0,0.0,0.0,4278391.0,4279584.0,0.0,0.0,0.0,0.0,0.0,1193.0,0.0,0.0
89133.40958,1.1919752,1,4,2,14.0,,,,4279586.0,4280786.0,0.0,0.0,0.0,4279591.0,4280785.0,0.0,0.0,0.0,0.0,0.0,1194.0,0.0,0.0
89134.61825,1.1920709,1,5,2,16.0,,,,4280793.0,4281999.0,0.0,0.0,0.0,4280801.0,4281993.0,0.0,0.0,0.0,0.0,0.0,1192.0,0.0,0.0
89135.82711,1.1919765,1,6,2,9.0,,,,4282005.0,4283204.0,0.0,0.0,0.0,4282010.0,4283203.0,0.0,0.0,0.0,0.0,0.0,1193.0,0.0,0.0
89137.02745,1.1919701,1,7,2,3.0,,,,4283204.0,4284403.0,0.0,0.0,0.0,4283209.0,4284403.0,0.0,0.0,0.0,0.0,0.0,1194.0,0.0,0.0
89138.22781,1.1920939,1,8,2,24.0,,,,4284403.0,4285603.0,0.0,0.0,0.0,4284409.0,4285603.0,0.0,0.0,0.0,0.0,0.0,1194.0,0.0,0.0
89139.4281,1.1922114,1,9,2,11.0,,,,4285603.0,4286804.0,0.0,0.0,0.0,4285610.0,4286803.0,0.0,0.0,0.0,0.0,0.0,1193.0,0.0,0.0
89140.62872,1.1920131,1,10,2,4.0,,,,4286804.0,4288004.0,0.0,0.0,0.0,4286810.0,4288004.0,0.0,0.0,0.0,0.0,0.0,1194.0,0.0,0.0
89141.82894,1.1921864,1,11,2,22.0,,,,4288004.0,4289204.0,0.0,0.0,0.0,4288010.0,4289204.0,0.0,0.0,0.0,0.0,0.0,1194.0,0.0,0.0
89143.02939,1.1919998,1,12,2,5.0,,,,4289204.0,4290405.0,0.0,0.0,0.0,4289211.0,4290404.0,0.0,0.0,0.0,0.0,0.0,1193.0,0.0,0.0
89144.22972,1.1921887,1,13,2,2.0,,,,4290405.0,4291605.0,0.0,0.0,0.0,4290411.0,4291605.0,0.0,0.0,0.0,0.0,0.0,1194.0,0.0,0.0
89145.43016,1.1920812,1,14,2,19.0,,,,4291605.0,4292805.0,0.0,0.0,0.0,4291612.0,4292805.0,0.0,0.0,0.0,0.0,0.0,1193.0,0.0,0.0
89146.63067,1.1919957,1,15,2,16.0,,,,4292806.0,4294006.0,0.0,0.0,0.0,4292812.0,4294005.0,0.0,0.0,0.0,0.0,0.0,1193.0,0.0,0.0
